clip_id,ts,prod_cam,prod_phase,v2_broadcast_tag,v2_class,open_desc
d001,0.00,graphic,graphic,LIVE,other,"The frame shows a red background with white text that reads ""JioHotstar | Self-Serve"" and a white starburst symbol to the left of the text. There are no people visible in the frame, only the text and some white lines and dots scattered across the background. The overall appearance suggests a title card or opening screen for a broadcast, likely related to a sports event given the mention of ""JioHotstar,"" which is known for streaming live sports. The action level appears to be static, with no active play or movement happening."
d001,1.00,graphic,graphic,LIVE,action,"The frame shows a title card with the text ""JioHotstar | Self-Serve"" in white, accompanied by a white starburst logo to the left of the text. The background features a red and brown gradient with white lines and dots resembling a starry night sky. There are no people or action visible in this frame, as it appears to be a title or opening screen for a broadcast. The overall design suggests a professional and modern aesthetic."
d001,2.00,graphic,graphic,LIVE,action,"The frame shows a title card with the text ""JioHotstar | Self-Serve"" and a star logo, set against a red background with white lines and dots. There are no people visible in the frame, and there is no action taking place. The only graphical elements present are the text and logo, along with some small white text in the top-right corner that reads ""JioHotstar LIVE 9.4Cr Views"". The overall appearance suggests a broadcast or streaming platform's branding or introductory screen."
d001,3.00,closeup,between_play,LIVE,other,"The camera shows a player in a brown uniform with teal accents, standing on the field. The player appears to be looking down at something off-camera. In the background, there are spectators sitting in stands, but they are out of focus. There are several graphical overlays on the screen, including a score graphic showing the current score and player statistics, as well as logos for sponsors and the league. The score graphic displays information about the Gujarat Titans team, including the overs left and figures for various players. The action level appears to be relatively low, as if the frame was captured between deliveries or during a break in play. The player seems to be preparing for or reacting to something, but there is no intense action happening in this frame."
d001,4.00,closeup,between_play,LIVE,other,"The camera shows a player in a brown jersey with teal accents, likely a bowler or fielder, standing on the field. He appears to be looking to his right, possibly watching the action elsewhere on the field. The background is blurred but shows spectators in the stands. There are several graphical overlays on the frame, including a score graphic on the bottom left showing the score and player statistics, a blue bar at the bottom with team names and standings, and a logo for the TATA IPL in the top-left corner. The action level appears to be between deliveries, as the player is not in motion and seems to be waiting for something to happen. The overall atmosphere suggests that this is a live broadcast of a cricket match, with the player and crowd focused on the game."
d001,5.00,closeup,between_play,LIVE,other,"The camera shows a player in a brown jersey with his right arm raised. He appears to be on the field, and there are spectators in the background. The people in the frame are primarily watching the player, with some appearing to be reacting to the player's raised arm. There are several graphical overlays on the frame, including a score graphic showing the current score and player statistics, as well as logos for sponsors and the broadcast network. The action level appears to be a post-action moment, as the player has his arm raised, possibly in celebration or acknowledgement of something that has just happened. The overall atmosphere suggests that it is a live broadcast of a cricket match."
d001,6.00,closeup,between_play,LIVE,other,"The camera shows a player in a brown jersey with his right arm raised, standing in front of a blurred crowd. The player appears to be celebrating or acknowledging something. In the background, spectators are seated and watching the game. There are several graphical overlays on the screen, including a score graphic showing the current score of 134-6 for PBKS, the run-rate of 7.88, and player statistics for the Gujarat Titans team. A blue bar at the bottom displays additional information, such as the overs left and figures for each bowler. The action level appears to be a post-action moment, as the player is not actively engaged in play and the crowd is not reacting to an immediate event."
d001,7.00,closeup,between_play,LIVE,other,"The camera shows a player in a brown uniform with teal accents, standing in front of a blurred crowd. The player appears to be in motion, with his arms bent at the elbows and hands positioned as if he has just released or is about to release a ball. The people in the frame are primarily spectators in the background, who are not clearly visible due to blurring, and the player in the foreground. The player seems to be focused on something off-camera. There are several graphical overlays on the frame, including a score graphic on the bottom left showing team names, scores, and player statistics; a blue bar at the bottom displaying player names, run rates, and other game information; and logos for ""TATA IPL"" in the top-left corner and ""JioHotstar LIVE"" in the top-right corner. The action level appears to be a post-action moment, possibly between deliveries, as the player seems to have just completed an action and is now focused elsewhere."
d001,8.00,closeup,between_play,LIVE,action,"The camera shows a player in a brown uniform with teal accents, likely a bowler, running towards the right side of the frame. He appears to be on the field during a cricket match. The background is blurred but shows spectators in the stands. The player is in motion, with his left arm bent at the elbow and his right arm extended behind him. The people in the background are not clearly visible due to the blur. There are several graphical overlays on the screen, including a score graphic on the bottom left that displays the team names ""Gujarat Titans"" and ""PBKS,"" as well as various player statistics and scores. A blue bar at the bottom center shows player names and numbers, and a brown bar on the right displays additional information. The action level appears to be between deliveries, as the bowler is running but not actively bowling or throwing. The overall atmosphere suggests a live broadcast of a professional cricket match."
d001,9.00,graphic,graphic,LIVE,other,"The camera shows a close-up shot of a cricket player in action. The player appears to be in motion, likely having just bowled or thrown the ball. A score graphic overlay on the left side displays the names and statistics of the Gujarat Titans players. The background is blurred but appears to show spectators and another player."
