frame,truth_label,prompt_id,raw_response,parsed_answer
post_001.jpg,post,P1_binary,LIVE.,LIVE
post_001.jpg,post,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
post_001.jpg,post,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: Y, BALL_SPEED: N, CROWD_FOREGROUND: N, BOWLER_RELEASING: N, BATTER_PLAYING: N, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=Y;BALL_SPEED=N;CROWD_FOREGROUND=N;BOWLER_RELEASING=N;BATTER_PLAYING=N;FIELDER_DIVING=N
post_001.jpg,post,P4_camera,"The camera framing in this cricket frame is **CLOSEUP**. This is because the image primarily focuses on a single player, showcasing their profile and uniform details, indicating a close-up shot.",CLOSEUP
post_001.jpg,post,P5_anchor,No.,NO
post_002.jpg,post,P1_binary,LIVE.,LIVE
post_002.jpg,post,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
post_002.jpg,post,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: N, BALL_SPEED: Y, CROWD_FOREGROUND: N, BOWLER_RELEASING: N, BATTER_PLAYING: N, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=N;BALL_SPEED=Y;CROWD_FOREGROUND=N;BOWLER_RELEASING=N;BATTER_PLAYING=N;FIELDER_DIVING=N
post_002.jpg,post,P4_camera,"The camera framing in this cricket frame is **CLOSEUP**. This is because the image primarily focuses on a single player, showcasing their helmet and part of their jersey, with minimal background visible. The close-up view emphasizes the player's gear and facial expression (though the face is not fully visible), which is characteristic of a close-up shot.",CLOSEUP
post_002.jpg,post,P5_anchor,No.,NO
post_003.jpg,post,P1_binary,LIVE.,LIVE
post_003.jpg,post,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
post_003.jpg,post,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: N, BALL_SPEED: Y, CROWD_FOREGROUND: N, BOWLER_RELEASING: N, BATTER_PLAYING: Y, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=N;BALL_SPEED=Y;CROWD_FOREGROUND=N;BOWLER_RELEASING=N;BATTER_PLAYING=Y;FIELDER_DIVING=N
post_003.jpg,post,P4_camera,"The camera framing in this cricket frame is **BOWLERS_END_WIDE**, as it appears to be a view from behind the bowler showing the pitch. This type of shot provides a wide-angle perspective of the action on the pitch, allowing viewers to see the bowler, the batsman, and the fielders.",BOWLERS_END_WIDE
post_003.jpg,post,P5_anchor,NO.,NO
post_004.jpg,post,P1_binary,LIVE.,LIVE
post_004.jpg,post,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
post_004.jpg,post,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: Y, BALL_SPEED: Y, CROWD_FOREGROUND: N, BOWLER_RELEASING: N, BATTER_PLAYING: N, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=Y;BALL_SPEED=Y;CROWD_FOREGROUND=N;BOWLER_RELEASING=N;BATTER_PLAYING=N;FIELDER_DIVING=N
post_004.jpg,post,P4_camera,"The camera framing in this cricket frame is **CLOSEUP**. This is because the image primarily focuses on a single player, showcasing their profile and jersey details, indicating a close-up shot.",CLOSEUP
post_004.jpg,post,P5_anchor,No.,NO
post_005.jpg,post,P1_binary,LIVE.,LIVE
post_005.jpg,post,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
post_005.jpg,post,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: Y, BALL_SPEED: Y, CROWD_FOREGROUND: N, BOWLER_RELEASING: N, BATTER_PLAYING: N, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=Y;BALL_SPEED=Y;CROWD_FOREGROUND=N;BOWLER_RELEASING=N;BATTER_PLAYING=N;FIELDER_DIVING=N
post_005.jpg,post,P4_camera,"The camera framing in this cricket frame is **BOWLERS_END_WIDE**, as it appears to be a view from behind the bowler showing the pitch. The player is positioned on the pitch, and the camera angle suggests that it is capturing the scene from the bowler's end, with the pitch and the player's movement visible.",BOWLERS_END_WIDE
post_005.jpg,post,P5_anchor,NO.,NO
pre_001.jpg,pre,P1_binary,LIVE.,LIVE
pre_001.jpg,pre,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
pre_001.jpg,pre,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: Y, BALL_SPEED: N, CROWD_FOREGROUND: N, BOWLER_RELEASING: N, BATTER_PLAYING: N, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=Y;BALL_SPEED=N;CROWD_FOREGROUND=N;BOWLER_RELEASING=N;BATTER_PLAYING=N;FIELDER_DIVING=N
pre_001.jpg,pre,P4_camera,"The camera framing in this cricket frame is **BOWLERS_END_WIDE**, as it appears to be a wide-angle shot from behind the bowler, showing the pitch and the players on the field. This type of shot provides a broad view of the action on the pitch, allowing viewers to see the positions of the batsmen, the bowler, and the fielders.",BOWLERS_END_WIDE
pre_001.jpg,pre,P5_anchor,NO.,NO
pre_002.jpg,pre,P1_binary,LIVE.,LIVE
pre_002.jpg,pre,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
pre_002.jpg,pre,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: N, BALL_SPEED: N, CROWD_FOREGROUND: N, BOWLER_RELEASING: N, BATTER_PLAYING: Y, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=N;BALL_SPEED=N;CROWD_FOREGROUND=N;BOWLER_RELEASING=N;BATTER_PLAYING=Y;FIELDER_DIVING=N
pre_002.jpg,pre,P4_camera,"The camera framing in this cricket frame is **BOWLERS_END_WIDE**, as it appears to be a wide-angle shot from behind the bowler, showing the pitch and the players' positions. This type of framing is commonly used in cricket broadcasts to provide a clear view of the action on the field.",BOWLERS_END_WIDE
pre_002.jpg,pre,P5_anchor,NO.,NO
pre_003.jpg,pre,P1_binary,LIVE.,LIVE
pre_003.jpg,pre,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
pre_003.jpg,pre,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: N, BALL_SPEED: N, CROWD_FOREGROUND: N, BOWLER_RELEASING: N, BATTER_PLAYING: Y, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=N;BALL_SPEED=N;CROWD_FOREGROUND=N;BOWLER_RELEASING=N;BATTER_PLAYING=Y;FIELDER_DIVING=N
pre_003.jpg,pre,P4_camera,"The camera framing in this cricket frame is **BOWLERS_END_WIDE**, as it appears to be a view from behind the bowler showing the pitch.",BOWLERS_END_WIDE
pre_003.jpg,pre,P5_anchor,NO.,NO
pre_004.jpg,pre,P1_binary,LIVE.,LIVE
pre_004.jpg,pre,P2_scene,DELIVERY,DELIVERY
pre_004.jpg,pre,P3_checklist,"REPLAY_TAG: N, SLO_MO: N, ANALYSIS: Y, BALL_SPEED: Y, CROWD_FOREGROUND: N, BOWLER_RELEASING: Y, BATTER_PLAYING: N, FIELDER_DIVING: N",REPLAY_TAG=N;SLO_MO=N;ANALYSIS=Y;BALL_SPEED=Y;CROWD_FOREGROUND=N;BOWLER_RELEASING=Y;BATTER_PLAYING=N;FIELDER_DIVING=N
pre_004.jpg,pre,P4_camera,"The camera framing in this cricket frame is **BOWLERS_END_WIDE**, as it shows the view from behind the bowler, capturing the pitch and the players' actions. This type of framing provides a clear view of the bowler's action and the batsman's response, making it an ideal angle for showcasing the delivery of the ball.",BOWLERS_END_WIDE
pre_004.jpg,pre,P5_anchor,NO.,NO
pre_005.jpg,pre,P1_binary,LIVE.,LIVE
pre_005.jpg,pre,P2_scene,BETWEEN_DELIVERIES,BETWEEN_DELIVERIES
