source_dir	cluster_id	cluster_name	current_anchor_t	blanket_anchor_t	shift_s	blanket_anchor_signals	current_anchor_signals	positive_control	raw_description	bridge_anchor_t	bridge_shift_s	bridge_fired	bridge_reason	classification
may8_innings1_predicted	106	c106_anchor5156	5156.0	5151.0	5.0	VY Sn MY M2Y WY Kn SSY CGY rc=4	VY Sn MY M2Y WY Kn SSY CGY rc=4		The camera shows a wide field view of a cricket pitch with several players on it. The people in the frame are standing still, with one batter holding a bat and standing near the wicket, while a bowler appears to have just delivered the ball and is walking away. There are graphical overlays at the top and bottom of the frame, including sponsor logos, team logos, player stats, and a score graphic. The action level appears to be between deliveries, as the players are not actively engaged in play.	5151.0	5.0	Y	fired_at_t=5151.0	CORRECT
may8_innings1_predicted	107	c107_anchor5175	5175.0	5171.0	4.0	VY Sn MY M2Y WY Kn SSY CGY rc=4	VY Sn MY M2Y WY KY SSY CGY rc=6		The camera shows a wide field view of a cricket match in progress. A batter wearing a red helmet and blue uniform with red pads is standing with a bat in a ready position, while a wicketkeeper in a purple uniform with a yellow helmet is crouched behind the wickets. The people in the frame are primarily watching the action, with the batter poised to hit the ball and the wicketkeeper focused on the bowler. There are several graphical overlays on the frame, including a score graphic at the bottom showing the teams, scores, and player statistics, as well as sponsor logos along the field's boundary. The action level appears to be between deliveries, as the batter is preparing to face the bowler but the ball is not visible.	5175.0	0.0	N	no_qualifying_candidate	PHANTOM
may8_innings1_predicted	108	c108_anchor5209	5209.0	5204.0	5.0	VY Sn MY M2Y WY Kn SSY CGY rc=4	VY Sn MY M2Y WY KY SSY CGY rc=5		"The camera shows a wide field view of a cricket pitch with players positioned around it. The people in the frame are primarily standing still, with one player walking away from the wicket and another player and umpire positioned near the pitch; a bowler appears to have just delivered the ball and is walking away with his arm raised. There are several graphical overlays visible, including a score graphic at the bottom of the screen showing the score, overs, and wickets for both teams, as well as sponsor logos such as ""TATA SIERRA"" and team logos. The action level appears to be in a post-delivery moment, with players not actively engaged in play but rather reacting to or preparing for the next delivery."	5204.0	5.0	Y	fired_at_t=5204.0	CORRECT
may8_innings1_predicted	114	c114_anchor5501	5501.0	5494.0	7.0	VY Sn MY M2n WY KY SSY CGY rc=3	VY SY MY M2Y WY Kn SSY CGY rc=5		"The camera shows a wide field view of three cricket players on the field. The players are wearing purple uniforms with yellow accents and appear to be engaged in conversation, with one player having just bowled a ball, which is visible in mid-air behind him. There are several graphical overlays present, including a blue and purple score graphic at the bottom of the screen displaying the teams ""DC"" and ""KKR"", the current score ""115-5"", and player information. Additionally, there are logos for ""TATA IPL"" and ""JioHotstar LIVE"" in the top corners of the screen. The action level appears to be a post-action moment, as the bowler has just released the ball and the players are reacting to the play. The atmosphere seems calm, with no intense or dramatic actions happening in this frame."	5494.0	7.0	Y	fired_at_t=5494.0	CORRECT
may8_innings1_predicted	116	c116_anchor5669	5669.0	5665.0	4.0	VY Sn MY M2Y WY Kn SSY CGY rc=3	VY SY MY M2Y WY KY SSY CGY rc=7		The camera shows a wide field view of a cricket field with a batsman and a fielder in the frame. The batsman appears to have just hit the ball and is walking towards the non-striker's end, while the fielder on the left side of the frame is walking towards the wicket. There are several graphical overlays on the frame, including a score graphic at the bottom showing the score, team logos, and player information. Additionally, there are sponsor logos displayed along the boundary of the field and in the top-left corner of the frame. The action level appears to be between deliveries, as the batsman is walking towards the non-striker's end and the fielder is walking towards the wicket. The overall atmosphere suggests that the match is being broadcast live, with a crowd visible in the background.	5669.0	0.0	N	no_qualifying_candidate	PHANTOM
may8_innings1_predicted	125	c125_anchor6090	6090.0	6077.0	13.0	VY Sn MY M2Y WY KY SSY CGY rc=1	VY Sn MY M2Y WY KY SSY CGY rc=5		"The camera shows a wide field view of a cricket player standing on the field. The player, wearing a purple and yellow uniform with the number 14 on his back, is standing with his right arm outstretched as if he has just bowled or is about to bowl. There are several graphical overlays at the bottom of the frame, including a blue and purple scoreboard with team logos, player names, and statistics. In the top-left corner, there is a TATA IPL logo, and in the top-right corner, there is a JioHotstar LIVE logo with ""8.1Cr Views"" written next to it. The action level appears to be between deliveries, as the player is not in motion and seems to be waiting for something to happen."	6077.0	13.0	Y	fired_at_t=6077.0	CORRECT
may8_innings1_predicted	16	c16_anchor1209	1209.0	1203.0	6.0	VY Sn MY M2Y WY KY SSY CGY rc=1	VY Sn MY M2Y WY Kn SSY CGY rc=4		The camera shows a wide field view of a cricket player standing on the field. The player, wearing a purple and gold uniform with the number 45 on his back, appears to be in motion, with his right arm extended as if he has just thrown something, likely a cricket ball. There are several graphical overlays at the bottom of the screen, including a scoreboard with team names, scores, and player information, as well as logos for the TATA IPL and JioHotstar. The action level appears to be between deliveries, as the player seems to be walking or running after bowling.	1203.0	6.0	Y	fired_at_t=1203.0	PHANTOM
may8_innings1_predicted	21	c21_anchor1418	1418.0	1411.0	7.0	VY Sn MY M2Y WY Kn SSY CGY rc=4	VY SY MY M2Y WY Kn SSY CGY rc=4	Y	The camera shows a wide field view of a cricket pitch with players positioned around it. The bowler is in the process of throwing the ball, with his arm raised and about to release it, while the batter stands ready with a bat, and another player walks towards the wicket. There are graphical overlays at the bottom of the screen displaying information such as team names, scores, player names, and run rates. The scene appears to be an active moment in the game, likely just before or as the bowler releases the ball.	1411.0	7.0	Y	fired_at_t=1411.0	CORRECT
may8_innings1_predicted	24	c24_anchor1502	1502.0	1495.0	7.0	VY SY MY M2Y WY KY SSY CGY rc=5	Vn SY MY M2Y WY KY SSY CGY rc=4	Y	The camera shows a wide field view of a cricket pitch with players positioned around it. The bowler is in the process of throwing the ball, with his arm raised and about to release it, while the batter stands ready with his bat. A wicketkeeper and another fielder are positioned behind the batter. There are several graphical overlays on the screen, including a score graphic at the bottom showing the score (DC 33-0) and various statistics, as well as logos for TATA IPL and JioHotstar Live in the top corners. The action level appears to be an active play moment, just before the delivery of the ball.	1495.0	7.0	Y	fired_at_t=1495.0	CORRECT
may8_innings1_predicted	26	c26_anchor1564	1564.0	1558.0	6.0	VY SY MY M2Y WY KY SSY CGY rc=5	VY SY MY M2Y WY KY SSY CGY rc=5		"The camera shows a wide field view of a cricket pitch with several players positioned around it. The people in the frame appear to be standing still, with one batter holding a bat and preparing to play, a wicketkeeper standing behind the wickets, and a fielder standing on the off side. There are several graphical overlays on the screen, including a score graphic at the bottom showing the score (DC 38-0), team standings (DC 7, KKR 8), and player statistics (KL Rahul's strike rate, runs, 4s/6s, and balls faced). Additionally, there are sponsor logos visible, such as ""TATA IPL"" in the top-left corner and ""TATA SIERRA"" in the top-center. The action level appears to be between deliveries, as the players seem to be waiting for the next ball to be bowled."	1558.0	6.0	Y	fired_at_t=1558.0	CORRECT
